Guild,clade,motility_detail,motility,motility simple,tiering,tiering_simple,feeding,predator_type,feeding_simple,size,calcification,abundance_detail,abundance_simple
Ammonite_3,ammonite,slow_swimmer,slow,motile,pelagic,pelagic,predator,micropredator,predator,large,moderate,12,rare
Ammonite_2,ammonite,slow_swimmer,slow,motile,pelagic,pelagic,predator,micropredator,predator,medium,moderate,15,rare
Ammonite_1,ammonite,slow_swimmer,slow,motile,pelagic,pelagic,predator,micropredator,predator,small,moderate,28,fairly_common
Belemnite_3,belemnite,fast_swimmer,fast,motile,pelagic,pelagic,predator,macropredator,predator,gigantic,moderate,28,fairly_common
Belemnite_1,belemnite,fast_swimmer,fast,motile,pelagic,pelagic,predator,macropredator,predator,large,moderate,24,fairly_common
Belemnite_2,belemnite,fast_swimmer,fast,motile,pelagic,pelagic,predator,macropredator,predator,very_large,moderate,59,common
Bivalve_5,bivalve,slow_crawler,slow,motile,shallow_infaunal,infaunal,mining,,detritivore,small,moderate,6,rare
Bivalve_6,bivalve,slow_crawler,slow,motile,shallow_infaunal,infaunal,mining,,detritivore,tiny,moderate,90,common
Bivalve_8,bivalve,facultative_unattached,facultative,motile,deep_infaunal,infaunal,suspension,,suspension,medium,moderate,21,fairly_common
Bivalve_9,bivalve,slow_crawler,slow,motile,deep_infaunal,infaunal,suspension,,suspension,large,moderate,1,very_rare
Bivalve_10,bivalve,slow_crawler,slow,motile,deep_infaunal,infaunal,suspension,,suspension,medium,moderate,11,rare
Bivalve_11,bivalve,nonmotile_attached,nonmotile,nonmotile,erect,epifaunal,suspension,,suspension,very_large,moderate,6,rare
Bivalve_12,bivalve,nonmotile_attached,nonmotile,nonmotile,semi-infaunal,infaunal,suspension,,suspension,large,moderate,200,very_common
Bivalve_13,bivalve,facultative_unattached,facultative,motile,shallow_infaunal,infaunal,suspension,,suspension,medium,moderate,7,rare
Bivalve_14,bivalve,facultative_unattached,facultative,motile,shallow_infaunal,infaunal,suspension,,suspension,small,moderate,79,common
Bivalve_16,bivalve,facultative_attached,facultative,motile,surficial,epifaunal,suspension,,suspension,medium,moderate,77,common
Bivalve_18,bivalve,facultative_attached,facultative,motile,surficial,epifaunal,suspension,,suspension,tiny,moderate,882,very_common
Bivalve_19,bivalve,facultative_unattached,facultative,motile,surficial,epifaunal,suspension,,suspension,large,moderate,539,very_common
Bivalve_24,bivalve,facultative_unattached,facultative,motile,surficial,epifaunal,suspension,,suspension,small,moderate,79,common
Bivalve_20,bivalve,nonmotile_attached,nonmotile,nonmotile,surficial,epifaunal,suspension,,suspension,medium,moderate,25,fairly_common
Bivalve_21,bivalve,nonmotile_attached,nonmotile,nonmotile,surficial,epifaunal,suspension,,suspension,small,moderate,20,fairly_common
Brachiopod_2,brachiopod,facultative_unattached,facultative,motile,shallow_infaunal,infaunal,suspension,,suspension,small,light,38,fairly_common
Brachiopod_1,brachiopod,nonmotile_attached,nonmotile,nonmotile,surficial,epifaunal,suspension,,suspension,small,heavy,101,common
Bryozoan_1,bryozoan,nonmotile_attached,nonmotile,nonmotile,surficial,epifaunal,suspension,,suspension,tiny,heavy,4,very_rare
Crinoid_1,crinoid,facultative_attached,facultative,motile,erect,epifaunal,suspension,,suspension,medium,heavy,3,very_rare
Crinoid_2,crinoid,facultative_attached,facultative,motile,erect,epifaunal,suspension,,suspension,small,heavy,52,common
Crustaceon_5,crustacean,fast_crawler,fast,motile,surficial,epifaunal,predator,macropredator,predator,large,moderate,9,rare
Crustaceon_6,crustacean,fast_crawler,fast,motile,surficial,epifaunal,predator,macropredator,predator,small,moderate,5,rare
Crustacean_1,crustacean,fast_crawler,fast,motile,semi-infaunal,infaunal,predator,micropredator,predator,large,moderate,NA,NA
Crustacean_2,crustacean,fast_crawler,fast,motile,semi-infaunal,infaunal,predator,micropredator,predator,medium,moderate,NA,NA
Crustacean_4,crustacean,fast_crawler,fast,motile,semi-infaunal,infaunal,predator,micropredator,predator,small,moderate,NA,NA
Crustacean_7,crustacean,fast_crawler,fast,motile,surficial,epifaunal,predator,macropredator,predator,large,moderate,4,very_rare
Echinoid_1,echinoid,slow_crawler,slow,motile,surficial,epifaunal,predator,macropredator,predator,large,moderate,3,very_rare
Fish_1,fish,fast_swimmer,fast,motile,pelagic,pelagic,predator,macropredator,predator,large,light,NA,NA
Gastropod_1,gastropod,slow_crawler,slow,motile,surficial,epifaunal,grazer,,herbivore,tiny,moderate,393,very_common
Gastropod_2,gastropod,slow_crawler,slow,motile,surficial,epifaunal,predator,macropredator,predator,tiny,moderate,62,common
Gastropod_4,gastropod,nonmotile_unattached,nonmotile,nonmotile,surficial,epifaunal,suspension,,suspension,tiny,moderate,20,fairly_common
Scaphopod_1,scaphopod,facultative_unattached,facultative,motile,semi-infaunal,infaunal,predator,micropredator,predator,small,moderate,13,rare
Serpulid_1,serpulid,nonmotile_attached,nonmotile,nonmotile,surficial,epifaunal,suspension,,suspension,small,moderate,18995,dominant
Soft_1,soft_indet,slow_crawler,slow,motile,surficial,epifaunal,grazer,,herbivore,medium,light,NA,NA
Soft_2,soft_indet,slow_crawler,slow,motile,surficial,epifaunal,grazer,,herbivore,small,light,NA,NA
Soft_3,soft_indet,slow_crawler,slow,motile,shallow_infaunal,infaunal,mining,,detritivore,medium,light,NA,NA
Soft_4,soft_indet,slow_crawler,slow,motile,shallow_infaunal,infaunal,mining,,detritivore,small,light,NA,NA
Soft_5,soft_indet,slow_crawler,slow,motile,deep_infaunal,infaunal,suspension,,suspension,small,light,NA,NA
BASAL NODE,primary,primary,primary,primary,primary,primary,primary,,primary,primary,primary,primary,primary
